spn\alliance\alderaan\broonmark\motorcade_speeder.spn_p,art\static\area\hth_hoth\vehicle\hth_veh_neu_speeder_02.gr2
spn\location\voss\bronze\republic\our_past_ourselves\gormak_refuse_pile.spn_p,art\static\area\all_all\item\debris\all_item_debris_pile.gr2
spn\location\voss\bronze\republic\our_past_ourselves\second_downed_ship.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\voss\bronze\republic\power_armor\armor_tech_charger.spn_p,dyn\location\voss\bronze\republic\power_armor\armor_power_station.dyn
spn\location\voss\bronze\republic\time_capsule\datapad.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\location\voss\bronze\republic\time_capsule\second_datapad.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\location\voss\bronze\republic\time_capsule\stash.spn_p,dyn\location\voss\bronze\republic\timpe_capsule\stash.dyn
spn\location\voss\bronze\republic\traps_are_meant_to_be_sprung\bounty_board.spn_p,art\static\area\all_all\item\republic\all_item_rep_desk_computer_01.gr2
spn\location\voss\bronze\republic\traps_are_meant_to_be_sprung\stolen_medical_supplies.spn_p,dyn\location\voss\bronze\republic\traps_are_meant_to_be_sprung\stolen_medical_supplies.dyn
spn\location\voss\bronze\republic\understanding_the_darkness\bounty_board.spn_p,art\static\area\all_all\item\tech\all_item_tech_server_screen.gr2
spn\location\voss\bronze\republic\understanding_the_darkness\computer_console.spn_p,art\static\area\all_all\item\tech\all_item_tech_proto_holocron.gr2
spn\location\voss\bronze\republic\understanding_the_darkness\corpse.spn_p,dyn\generic\environment\ambient\lootable_body.dyn
spn\location\voss\bronze\republic\walking_the_line\stolen_walker_parts.spn_p,dyn\location\voss\bronze\republic\walking_the_line\stolen_walker_parts.dyn
spn\location\voss\bronze\republic\walking_the_line\stolen_walker_parts_2.spn_p,dyn\location\voss\bronze\republic\walking_the_line\stolen_walker_parts_2.dyn
spn\location\voss\bronze\republic\wanted_breathing_room\bounty_board.spn_p,art\static\area\all_all\item\tech\all_item_tech_server_screen.gr2
spn\location\voss\bronze\shared\nakar_sel_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\bronze\shared\signal_pyre.spn_p,dyn\location\voss\bronze\shared\pyre_logs.dyn
spn\location\voss\bronze\shared\trial_of_the_first_chamber_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\bounty_hunter\at_arms_length\republic_holoterminal.spn_p,art\static\area\all_all\item\republic\all_item_rep_desk_computer_01.gr2
spn\location\voss\class\bounty_hunter\captive_audience\arena_door_1.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\beast_arena_forcefield.dyn
spn\location\voss\class\bounty_hunter\captive_audience\arena_forcefield_panel.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_01.gr2
spn\location\voss\class\bounty_hunter\captive_audience\beast_cage_forcefield.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\beast_cage_forcefield.dyn
spn\location\voss\class\bounty_hunter\captive_audience\beast_cage_forcefield_2.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\beast_cage_forcefield.dyn
spn\location\voss\class\bounty_hunter\captive_audience\beast_leash_forcefield.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\beast_leash_forcefield.dyn
spn\location\voss\class\bounty_hunter\captive_audience\beast_pen_door.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\gormak_forcefield.dyn
spn\location\voss\class\bounty_hunter\captive_audience\gormak_forcefield.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\gormak_forcefield.dyn
spn\location\voss\class\bounty_hunter\captive_audience\gormak_forcefield_panel.spn_p,art\static\area\vos_voss\item\vos_item_gormak_control_panel.gr2
spn\location\voss\class\bounty_hunter\captive_audience\shaclaw_forcefield.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\shaclaw_cage.dyn
spn\location\voss\class\bounty_hunter\captive_audience\shaclaw_forcefield_2.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\shaclaw_cage.dyn
spn\location\voss\class\bounty_hunter\captive_audience\stair_forcefield.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\stair_forcefields.dyn
spn\location\voss\class\bounty_hunter\captive_audience\stair_forcefield_2.spn_p,dyn\location\voss\class\bounty_hunter\captive_audience\stair_forcefields_2.dyn
spn\location\voss\class\jedi_knight\bloody_pilgrimage\inner_sanctum_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\jedi_knight\bloody_pilgrimage\main_chamber_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\jedi_knight\bloody_pilgrimage\main_chamber_obelisk.spn_p,art\static\area\vos_voss\arch\vos_arch_vosstomb_props1_obelisk.gr2
spn\location\voss\class\jedi_knight\mysterious_world\signal_scrambler.spn_p,dyn\location\voss\class\jedi_knight\mysterious_world\scrambler_tower.dyn
spn\location\voss\class\jedi_knight\mysterious_world\signal_scrambler_beta.spn_p,dyn\location\voss\class\jedi_knight\mysterious_world\scrambler_tower.dyn
spn\location\voss\class\jedi_knight\mysterious_world\signal_scrambler_final.spn_p,dyn\location\voss\class\jedi_knight\mysterious_world\scrambler_tower_master.dyn
spn\location\voss\class\jedi_knight\mysterious_world\signal_scrambler_gamma.spn_p,dyn\location\voss\class\jedi_knight\mysterious_world\scrambler_tower.dyn
spn\location\voss\class\jedi_knight\vault_of_the_gormak_king\backup_generator.spn_p,dyn\location\voss\class\jedi_knight\vault_of_the_gormak_king\shield_generator.dyn
spn\location\voss\class\jedi_knight\vault_of_the_gormak_king\generator.spn_p,dyn\location\voss\class\jedi_knight\vault_of_the_gormak_king\shield_generator.dyn
spn\location\voss\class\jedi_knight\vault_of_the_gormak_king\map_container.spn_p,dyn\location\voss\class\jedi_knight\vault_of_the_gormak_king\map_vault.dyn
spn\location\voss\class\jedi_knight\vault_of_the_gormak_king\secondary_generator.spn_p,dyn\location\voss\class\jedi_knight\vault_of_the_gormak_king\shield_generator.dyn
spn\location\voss\class\jedi_knight\visions_of_light_and_darkness\door_to_the_dark_heart.spn_p,art\static\area\all_all\item\tech\all_item_tech_reinforced_door.gr2
spn\location\voss\class\jedi_knight\visions_of_light_and_darkness\maw_of_sel_makor.spn_p,dyn\location\voss\class\jedi_knight\visions_of_light_and_darkness\sel_makor.dyn
spn\location\voss\class\jedi_knight\visions_of_light_and_darkness\ritual_altar.spn_p,dyn\location\voss\class\jedi_knight\visions_of_light_and_darkness\ritual_altar.dyn
spn\location\voss\class\jedi_knight\visions_of_light_and_darkness\sel_makors_consciousness.spn_p,art\static\area\all_all\item\temple\all_item_temple_holo_pedestal_holotech_device_small.gr2
spn\location\voss\class\jedi_wizard\a_thorny_path\sacred_tree.spn_p,dyn\location\voss\class\jedi_wizard\a_thorny_path\tree.dyn
spn\location\voss\class\jedi_wizard\a_thorny_path\sacred_tree2.spn_p,dyn\location\voss\class\jedi_wizard\a_thorny_path\branch.dyn
spn\location\voss\class\jedi_wizard\a_thorny_path\sacred_tree2_test.spn_p,dyn\location\voss\class\jedi_wizard\a_thorny_path\branch.dyn
spn\location\voss\class\jedi_wizard\a_thorny_path\sacred_tree3.spn_p,dyn\location\voss\class\jedi_wizard\a_thorny_path\tree.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\abomination_dark_energy.spn_p,dyn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\abomination_dark_energy.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\altar_lamp_one.spn_p,art\static\item\object\item_obj_holocron_sith_01.gr2
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\altar_lamp_three.spn_p,art\static\item\object\item_obj_holocron_sith_01.gr2
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\altar_lamp_two.spn_p,art\static\item\object\item_obj_holocron_sith_01.gr2
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\alter_one.spn_p,dyn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\dark_heart_altar.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\alter_two.spn_p,dyn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\dark_heart_altar.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\ancient_door.spn_p,dyn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\dark_heart_door.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\central_altar.spn_p,dyn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\dark_heart_altar.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\door_beast_smash.spn_p,dyn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\beast_smash_door.dyn
spn\location\voss\class\jedi_wizard\deep_cradle_dark_heart\hidden_switch.spn_p,art\static\area\vos_voss\env\vos_env_nightmare_boulders_sml_01.gr2
spn\location\voss\class\jedi_wizard\find_the_ancient_artifact\ancient_container.spn_p,dyn\location\voss\generic\ancient_chest.dyn
spn\location\voss\class\jedi_wizard\find_the_ancient_weapon\ancient_container.spn_p,dyn\location\voss\generic\ancient_chest.dyn
spn\location\voss\class\jedi_wizard\marked\marker.spn_p,art\static\area\vos_voss\arch\vos_arch_ruins_urn_broken.gr2
spn\location\voss\class\jedi_wizard\signs_and_signifiers\carving_piece_1.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\carving_fragment.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\carving_piece_2.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\carving_fragment_2.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\carving_piece_3.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\carving_fragment_3.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\drill_controls.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\drill_detonation_new.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\drill_explosions.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\drill_explosions.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\giant_crystal.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\giant_crystal.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\hollow_tree.spn_p,art\static\item\container\item_con_plasteel_crate_02.gr2
spn\location\voss\class\jedi_wizard\signs_and_signifiers\mining_equipment.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\drill_explosions.dyn
spn\location\voss\class\jedi_wizard\signs_and_signifiers\stone_carving.spn_p,dyn\location\voss\class\jedi_wizard\signs_and_signifiers\carving.dyn
spn\location\voss\class\sith_sorceror\multi\dream_walk_vfx.spn_p,dyn\location\voss\class\sith_sorceror\multi\dream_walk_vfx.dyn
spn\location\voss\class\sith_sorceror\multi\office_computer_screen_destroyed.spn_p,dyn\location\voss\class\sith_sorceror\multi\computer_screen_destroyed.dyn
spn\location\voss\class\sith_sorceror\multi\office_destroyed.spn_p,dyn\location\voss\class\sith_sorceror\multi\athelis_kallis_office.dyn
spn\location\voss\class\sith_sorceror\multi\office_intanct.spn_p,dyn\location\voss\class\sith_sorceror\multi\office_intact.dyn
spn\location\voss\class\sith_sorceror\necessary_sacrifice\jail_item.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_wall05.gr2
spn\location\voss\class\sith_sorceror\necessary_sacrifice\prison_cell_force_field.spn_p,dyn\location\voss\class\sith_sorceror\necessary_sacrifice\prison_cell_force_field.dyn
spn\location\voss\class\sith_sorceror\necessary_sacrifice\ritual_item.spn_p,dyn\location\voss\class\sith_sorceror\necessary_sacrifice\gormak_meeting_stone.dyn
spn\location\voss\class\sith_sorceror\necessary_sacrifice\ritual_item_return.spn_p,dyn\location\voss\class\sith_sorceror\necessary_sacrifice\gormak_meeting_stone.dyn
spn\location\voss\class\sith_sorceror\secrets_of_the_force\voss_artifact.spn_p,dyn\location\voss\class\sith_sorceror\secrets_of_the_force\voss_artifact.dyn
spn\location\voss\class\sith_sorceror\the_ritual\ancient_altar_return.spn_p,dyn\location\voss\class\sith_sorceror\the_ritual\anceint_altar_teleport.dyn
spn\location\voss\class\sith_sorceror\the_ritual\dark_heart_item.spn_p,dyn\location\voss\class\sith_sorceror\the_ritual\anceint_altar_teleport.dyn
spn\location\voss\class\sith_sorceror\the_ritual\dream_hadrik_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\sith_sorceror\the_ritual\dream_organa_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\sith_sorceror\the_ritual\dream_rock.spn_p,dyn\location\voss\class\sith_sorceror\the_ritual\dream_rock.dyn
spn\location\voss\class\sith_sorceror\the_ritual\dream_rylee_mortel_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\sith_sorceror\the_ritual\dream_zash_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\sith_sorceror\the_ritual\return_door.spn_p,dyn\location\voss\generic\temple_door.dyn
spn\location\voss\class\sith_sorceror\visions_and_visionaries\dinner_bell.spn_p,art\static\area\all_all\item\all_item_taxi_kiosk.gr2
spn\location\voss\class\sith_sorceror\visions_and_visionaries\meditation_censer.spn_p,dyn\location\voss\class\sith_sorceror\visions_and_visionaries\censer.dyn
spn\location\voss\class\sith_sorceror\visions_and_visionaries\return_censer.spn_p,dyn\location\voss\class\sith_sorceror\visions_and_visionaries\censer.dyn
spn\location\voss\class\sith_sorceror\visions_and_visionaries\seed.spn_p,dyn\location\voss\class\sith_sorceror\visions_and_visionaries\seed.dyn
spn\location\voss\class\sith_warrior\pendant_of_bone\force_field_generator_1.spn_p,dyn\location\voss\class\sith_warrior\pendant_of_bone\force_field_generator.dyn
spn\location\voss\class\sith_warrior\pendant_of_bone\force_field_generator_2.spn_p,dyn\location\voss\class\sith_warrior\pendant_of_bone\force_field_generator.dyn
spn\location\voss\class\sith_warrior\pendant_of_bone\warmaster_forcefield.spn_p,dyn\location\voss\class\sith_warrior\pendant_of_bone\warmaster_forcefield.dyn
spn\location\voss\class\sith_warrior\request_an_audience\magada_ru_cave_entrance.spn_p,art\static\area\all_all\arch\city\all_arch_city_security_fence_gate_l.gr2
spn\location\voss\class\sith_warrior\request_an_audience\signal_pyre.spn_p,dyn\location\voss\class\sith_warrior\request_an_audience\signal_pyre.dyn
spn\location\voss\class\sith_warrior\request_an_audience\signal_pyre2.spn_p,dyn\location\voss\class\sith_warrior\request_an_audience\signal_pyre.dyn
spn\location\voss\class\sith_warrior\request_an_audience\signal_pyre_final.spn_p,dyn\location\voss\class\sith_warrior\request_an_audience\signal_pyre.dyn
spn\location\voss\class\sith_warrior\the_voice_of_darkness\door_to_inner_chamber.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\sith_warrior\the_voice_of_darkness\door_to_main_chamber.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\sith_warrior\the_voice_of_darkness\first_chamber_dark_magic.spn_p,dyn\location\voss\class\sith_warrior\the_voice_of_darkness\first_chamber_dark_magic.dyn
spn\location\voss\class\sith_warrior\the_voice_of_darkness\gate.spn_p,dyn\location\voss\class\sith_warrior\the_voice_of_darkness\dyn_pendant_key.dyn
spn\location\voss\class\sith_warrior\the_voice_of_darkness\sel_makors_dark_magic.spn_p,dyn\location\voss\class\sith_warrior\the_voice_of_darkness\sel_makors_dark_magic.dyn
spn\location\voss\class\sith_warrior\the_voice_of_darkness\test_energy.spn_p,art\static\area\vos_voss\item\vos_item_ruins_tablet.gr2
spn\location\voss\class\smuggler\buyers_remorse\ancient_sith_chest.spn_p,dyn\location\voss\generic\ancient_chest.dyn
spn\location\voss\class\smuggler\buyers_remorse\ancient_sith_chest_2.spn_p,dyn\location\voss\generic\ancient_chest.dyn
spn\location\voss\class\smuggler\buyers_remorse\ancient_sith_chest_3.spn_p,dyn\location\voss\generic\ancient_chest.dyn
spn\location\voss\class\smuggler\corruption\beast_forcefield.spn_p,dyn\location\voss\class\smuggler\corruption\beast_force_field.dyn
spn\location\voss\class\smuggler\corruption\force_field_controls.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_stand02.gr2
spn\location\voss\class\smuggler\corruption\force_field_controls_first.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_stand02.gr2
spn\location\voss\class\smuggler\corruption\force_field_first.spn_p,dyn\location\voss\class\smuggler\corruption\enter_force_field.dyn
spn\location\voss\class\smuggler\corruption\force_field_generator.spn_p,dyn\location\voss\class\smuggler\corruption\jela_generator.dyn
spn\location\voss\class\smuggler\corruption\jela_collision.spn_p,dyn\location\voss\class\smuggler\corruption\jela_collision.dyn
spn\location\voss\class\smuggler\corruption\jela_force_field.spn_p,dyn\location\voss\class\smuggler\corruption\jela_force_field.dyn
spn\location\voss\class\smuggler\corruption\railing.spn_p,dyn\location\voss\class\smuggler\corruption\blow_up_railing.dyn
spn\location\voss\class\smuggler\corruption\tech_beast_controls.spn_p,art\static\item\container\item_con_plasteel_crate_01.gr2
spn\location\voss\class\smuggler\into_the_fire\carbonie_male.spn_p,dyn\location\voss\class\smuggler\into_the_fire\carbonie_male.dyn
spn\location\voss\class\smuggler\into_the_fire\carbonite_chamber_controller.spn_p,art\static\area\all_all\item\republic\all_item_rep_hangar_console.gr2
spn\location\voss\class\smuggler\into_the_fire\carbonite_chamber_door.spn_p,dyn\location\voss\class\smuggler\into_the_fire\carbonite_door.dyn
spn\location\voss\class\smuggler\into_the_fire\carbonite_female.spn_p,dyn\location\voss\class\smuggler\into_the_fire\carbonite_female.dyn
spn\location\voss\class\smuggler\into_the_fire\jela_holorecorder.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_keyboard01.gr2
spn\location\voss\class\smuggler\into_the_fire\one_way_out_console.spn_p,art\static\area\all_all\item\tech\all_item_tech_door.gr2
spn\location\voss\class\smuggler\multi\holocommunicator.spn_p,art\static\item\container\item_con_plasteel_crate_01.gr2
spn\location\voss\class\smuggler\multi\static_carbonite_chamber_door.spn_p,art\static\area\all_all\item\tech\all_item_tech_door.gr2
spn\location\voss\class\smuggler\out_of_the_frying_pan\exploading_crate.spn_p,dyn\location\voss\class\smuggler\out_of_the_frying_pan\exploading_crate.dyn
spn\location\voss\class\spy\finding_vengeance\central_voss_scanner.spn_p,dyn\location\voss\class\spy\finding_vengeance\voss_scanner.dyn
spn\location\voss\class\spy\finding_vengeance\sacred_flame.spn_p,dyn\location\voss\class\spy\the_sacred_flame\sacred_flame.dyn
spn\location\voss\class\spy\finding_vengeance\voss_commando_corpse.spn_p,art\static\area\all_all\item\corpse\corpse_ge_baggy_light_a32_settler02_bma_voss.gr2
spn\location\voss\class\spy\finding_vengeance\voss_scanner.spn_p,dyn\location\voss\class\spy\finding_vengeance\voss_scanner.dyn
spn\location\voss\class\spy\finding_vengeance\western_voss_scanner.spn_p,dyn\location\voss\class\spy\finding_vengeance\voss_scanner.dyn
spn\location\voss\class\spy\multi\spy_ship_holoterminal.spn_p,art\static\area\all_all\item\all_item_taxi_kiosk.gr2
spn\location\voss\class\spy\paying_respects\dead_drop.spn_p,dyn\location\voss\class\spy\paying_respects\dead_drop.dyn
spn\location\voss\class\spy\paying_respects\shining_man_grave.spn_p,art\static\area\vos_voss\arch\vos_arch_shrine_altar.gr2
spn\location\voss\class\spy\paying_respects\stones_of_the_mountain.spn_p,dyn\location\voss\class\spy\paying_respects\stones_of_the_mountain.dyn
spn\location\voss\class\spy\paying_respects\tu_neh_fruit.spn_p,dyn\location\voss\class\spy\paying_respects\tu_neh_fruit.dyn
spn\location\voss\class\spy\paying_respects\water_of_voss.spn_p,dyn\location\voss\class\spy\paying_respects\water_of_voss.dyn
spn\location\voss\class\spy\the_prophecy_of_the_shining_man\ship_computer.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_wall05.gr2
spn\location\voss\class\spy\the_prophecy_of_the_shining_man\ship_on_fire.spn_p,dyn\location\voss\class\spy\the_prophecy_of_the_shining_man\ship_on_fire.dyn
spn\location\voss\class\spy\the_wellspring_of_healing\the_shining_mans_vitacron.spn_p,dyn\location\voss\class\spy\the_well_spring_of_healing\shining_mans_vitalcron.dyn
spn\location\voss\class\spy\the_wellspring_of_healing\vitalcron_chamber_door.spn_p,dyn\location\voss\generic\ancient_voss_door_mag.dyn
spn\location\voss\class\trooper\a_day_in_the_life\imperial_database_computer.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_wall10.gr2
spn\location\voss\class\trooper\collect_artifacts_hub_1\voss_artifact.spn_p,dyn\location\voss\generic\ancient_chest.dyn
spn\location\voss\class\trooper\hostile_negotiations\forcefield_panel.spn_p,dyn\location\voss\class\trooper\hostile_negotiations\forcefield_panel.dyn
spn\location\voss\class\trooper\hostile_negotiations\guard_forcefield.spn_p,dyn\location\voss\class\trooper\hostile_negotiations\pol_blex_door.dyn
spn\location\voss\class\trooper\hostile_negotiations\pol_blex_forcefield.spn_p,dyn\location\voss\class\trooper\hostile_negotiations\pol_blex_door.dyn
spn\location\voss\class\trooper\into_the_shadows\crashed_speed_bike.spn_p,dyn\location\voss\class\trooper\into_the_shadows\crashed_speed_bike.dyn
spn\location\voss\class\trooper\into_the_shadows\force_field.spn_p,dyn\location\voss\class\trooper\into_the_shadows\forcefield.dyn
spn\location\voss\class\trooper\into_the_shadows\imp_base_door_console.spn_p,dyn\location\voss\class\trooper\into_the_shadows\forcefield_console.dyn
spn\location\voss\data_holocron\datacron_cunning_voss.spn_p,art\static\area\all_all\item\all_item_tech_datacron_cunning.gr2
spn\location\voss\data_holocron\datacron_endurance_voss.spn_p,art\static\area\all_all\item\all_item_tech_datacron_endurance.gr2
spn\location\voss\data_holocron\datacron_life_crystal.spn_p,dyn\location\data_holocron\multi\vos_life_crystal.dyn
spn\location\voss\data_holocron\datacron_meditation_circle.spn_p,dyn\location\data_holocron\multi\vos_meditation_circle.dyn
spn\location\voss\data_holocron\datacron_presence_voss.spn_p,art\static\area\all_all\item\all_item_tech_datacron_presence.gr2
spn\location\voss\data_holocron\datacron_shield_inner_console.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_wall09.gr2
spn\location\voss\data_holocron\datacron_shield_silo.spn_p,dyn\location\data_holocron\multi\vos_shield_silo.dyn
spn\location\voss\data_holocron\datacron_strength_voss.spn_p,art\static\area\all_all\item\all_item_tech_datacron_strength.gr2
spn\location\voss\data_holocron\datacron_trooper_codes.spn_p,art\static\area\all_all\item\corpse\corpse_tr_tight_heavy_a02_c01_bms.gr2
spn\location\voss\data_holocron\datacron_willpower_voss.spn_p,art\static\area\all_all\item\all_item_tech_datacron_willpower.gr2
spn\location\voss\data_holocron\elev_datacron_silo.spn_p,art\static\area\vos_voss\arch\vos_arch_wallset_h6m_circle.gr2
spn\location\voss\elevator\elev_overrun_research_facility_01.spn_p,art\static\area\all_all\arch\all_arch_techcave_lift.gr2
spn\location\voss\hearth_stone\hearth_hub0_emp_poi02_imperial_district.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub0_neu_cantina.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub0_rep_poi01_republic_district.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub1_emp_poi09_fort_kodentha.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub1_rep_poi01_ken_la_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub2_neu_poi12_pilgrim_retreat.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub3_emp_poi02_outpost_skyline.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub3_rep_poi01_camp_talanis.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub4_emp_poi10_gehns_overlook.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub4_rep_poi01_shad_ka_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub5_emp_poi01_outpost_overseer.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub5_neu_poi14_pir_tel_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\hearth_stone\hearth_hub5_rep_poi03_kri_ta_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\voss\heroic_weekly\mission_board.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_pickup_v2.gr2
spn\location\voss\heroic_weekly\mission_board_imperial.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_pickup_v2.gr2
spn\location\voss\item_station\item_station_hub0_shared_poi00_voss_ka.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub1_emp_poi09_fort_kodentha.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub1_rep_poi01_ken_la_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub2_neu_poi12_pilgrim_retreat.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub3_emp_poi02_outpost_skyline.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub3_rep_poi01_camp_talanis.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub4_emp_poi10_gehns_overlook.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub4_rep_poi01_shad_ka_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub5_emp_poi01_outpost_overseer.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub5_neu_poi14_pir_tel_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\item_station\item_station_hub5_rep_poi03_kri_ta_outpost.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\voss\jukeboxes\vos_jukebox_vosska.spn_p,dyn\location\voss\jukeboxes\vos_jukebox_vosska.dyn
spn\location\voss\mailbox\mailbox_hub0_emp_poi02_imperial_district.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\voss\mailbox\mailbox_hub0_rep_poi01_republic_district.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\voss\mailbox\mailbox_hub1_emp_poi09_fort_kodentha.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
